Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1366,nm0770883,2012-08-26,2017-04-20,40 points,Feo Aladag,Die Fremde,1972-01-13
1367,nm0902022,2012-08-12,2017-04-03,40 points,Achim von Borries,Babylon Berlin,1968-11-13
1368,nm0884659,2014-02-01,2014-02-01,40 points,Eric Valette,"Samedi, dimanche et aussi lundi",
1369,nm2443600,2012-08-19,2012-08-19,40 points,Lisa Barros D'Sa,Good Vibrations,
1370,nm2441296,2012-08-19,2012-08-19,40 points,Glenn Leyburn,Good Vibrations,
1371,nm0677880,2017-01-25,2017-01-25,39 points,Elio Petri,Indagine su un cittadino al di sopra di ogni sospetto,1929-01-29
1372,nm0388956,2012-08-11,2015-10-03,39 points,Jerzy Hoffman,Ogniem i mieczem,1932-03-15
1373,nm0316306,2014-09-24,2014-09-24,39 points,Xavier Giannoli,Marguerite,1970-03-07
1374,nm0310168,2012-08-05,2012-08-05,39 points,Nils Gaup,Ofelas,1955-04-12
1375,nm0785684,2017-05-20,2017-05-20,39 points,Coline Serreau,3 hommes et un couffin,1947-10-29
1376,nm0384342,2012-07-28,2012-07-29,39 points,James Hill,The Home-Made Car,1919-07-09
1377,nm0903474,2012-07-29,2012-07-29,39 points,Václav Vorlícek,Kdo chce zabít Jessii?,1930-06-03
1378,nm0813583,2012-08-05,2012-08-05,39 points,Andrew Solt,Imagine: John Lennon,1947-12-13
1379,nm0490444,2017-03-15,2017-03-15,38 points,Alberto Lattuada,Guendalina,1914-11-13
1380,nm2928364,2012-08-19,2012-08-19,38 points,Sebastián Silva,La Nana,1979-04-09
1381,nm0554880,2016-07-28,2016-07-28,38 points,Emilio Martínez Lázaro,Ocho apellidos vascos,
1382,nm0025978,2014-03-22,2014-03-22,38 points,Allison Anders,Gas Food Lodging,1954-11-16
1383,nm0839268,2014-12-08,2014-12-08,38 points,Kjell Sundvall,Jägarna,1953-03-31
1384,nm0078465,2013-01-13,2013-01-13,38 points,Julie Bertuccelli,Depuis qu'Otar est parti...,1968-02-12
1385,nm0004784,2015-02-05,2015-02-05,38 points,Tony Bui,Ba mùa,1973-09-14
1386,nm0882203,2014-08-29,2014-08-29,38 points,Zaza Urushadze,Mandariinid,1965-10-30
1387,nm0402161,2012-07-28,2012-07-28,38 points,André Hunebelle,OSS 117 se déchaîne,1896-09-01
1388,nm0027975,2017-05-03,2017-05-03,37 points,Metodi Andonov,Koziyat rog,1932-03-16
1389,nm0969427,2012-08-26,2012-08-26,37 points,Semih Kaplanoglu,Yumurta,
1390,nm0664582,2015-01-20,2015-01-20,37 points,Wladyslaw Pasikowski,Jack Strong,1959-06-14
1391,nm1642796,2012-08-18,2012-08-18,37 points,Alex Rivera,Sleep Dealer,
1392,nm0498174,2016-09-25,2016-09-25,37 points,Rowland V. Lee,The Count of Monte Cristo,1891-09-06
1393,nm0168641,2016-04-02,2016-04-02,37 points,Fred Coe,A Thousand Clowns,1914-12-23
1394,nm0329679,2012-07-29,2012-07-29,37 points,Ray Goossens,Astérix le Gaulois,
1395,nm0414646,2012-08-18,2012-08-18,37 points,Steve Jacobs,Disgrace,1967-01-08
1396,nm0374663,2017-06-18,2017-06-18,37 points,Benjamin Heisenberg,Der Räuber,1974-06-09
1397,nm1641324,2015-04-28,2015-04-28,37 points,Özgür Yildirim,Chiko,1979-09-12
1398,nm0723285,2015-10-24,2015-10-24,37 points,Giulio Ricciarelli,Im Labyrinth des Schweigens,1965-08-02
1399,nm0952583,2012-08-11,2012-08-11,36 points,Benito Zambrano,Intemperie,1965-03-20
1400,nm0091515,2013-01-27,2013-01-27,36 points,Yurek Bogayevicz,Anna,1949-06-02
1401,nm0273863,2012-08-13,2012-08-13,36 points,Pascale Ferran,Lady Chatterley,1960-04-17
1402,nm0745866,2017-05-07,2017-05-07,36 points,Russell Rouse,The Well,1913-11-20
1403,nm0928208,2012-07-27,2012-07-27,36 points,Fred M. Wilcox,Forbidden Planet,1907-12-22
1404,nm0743093,2012-08-11,2012-08-11,36 points,Mark Rosman,Time Toys,
1405,nm1258777,2015-01-20,2015-01-20,36 points,Eskil Vogt,Verdens verste menneske,1974-10-31
1406,nm0364805,2014-11-03,2014-11-03,36 points,James B. Harris,The Killing,1928-08-03
1407,nm0137573,2012-08-04,2012-08-04,36 points,Lewis John Carlino,The Great Santini,1932-01-01
1408,nm0576940,2012-07-26,2012-07-26,36 points,Gus Meins,Kelly the Second,1893-03-06
1409,nm0107048,2012-08-11,2014-12-01,35 points,Heinrich Breloer,Todesspiel,1942-02-17
1410,nm0408076,2015-02-25,2015-02-25,35 points,Shôhei Imamura,Kuroi ame,1926-09-15
1411,nm0596407,2012-08-26,2012-08-26,35 points,Hans Petter Moland,Kraftidioten,1955-10-17
1412,nm0883334,2012-07-28,2012-07-28,35 points,Ladislao Vajda,Es geschah am hellichten Tag,1906-08-18
1413,nm0580698,2017-09-02,2017-09-02,35 points,Isabelle Mergault,Je vous trouve très beau,1958-05-11
1414,nm3176551,2017-03-10,2017-03-10,35 points,Riad Sattouf,Les beaux gosses,1978-05-05
1415,nm0795864,2015-11-22,2015-11-22,35 points,Herman Shumlin,Inherit the Wind,1898-12-06
1416,nm0369618,2015-05-01,2015-05-01,35 points,Jessica Hausner,Little Joe,1972-10-06
1417,nm0901138,2012-07-28,2012-08-03,35 points,Alfred Vohrer,Und der Regen verwischt jede Spur,1914-12-29
1418,nm0339254,2012-08-04,2012-08-04,35 points,Robert Greenwald,Xanadu,1945-08-28
1419,nm0911017,2015-05-02,2015-05-02,34 points,Quan'an Wang,Tuan yuan,
1420,nm0823906,2012-07-27,2015-06-15,34 points,Wolfgang Staudte,Ciske de Rat,1906-10-09
1421,nm0477702,2012-07-27,2012-12-27,34 points,Helmut Käutner,Der Hauptmann von Köpenick,1908-03-25
1422,nm0477102,2015-11-15,2015-11-15,34 points,Stanley Kwan,Yim ji kau,1957-10-09
1423,nm0258732,2012-08-26,2014-01-04,34 points,Reha Erdem,Hayat Var,
1424,nm0099984,2016-10-29,2016-10-29,34 points,Serge Bourguignon,Les dimanches de Ville d'Avray,1928-09-03
1425,nm0949597,2012-10-21,2012-10-21,34 points,Harold Young,Song of the Sarong,1897-11-13
1426,nm0174659,2016-12-18,2016-12-18,34 points,Stijn Coninx,Marina,1957-02-21
1427,nm0455394,2012-08-05,2012-08-05,34 points,Zalman King,Nine 1/2 Weeks,1942-05-23
1428,nm0433225,2012-08-11,2012-08-11,34 points,Paul Justman,Standing in the Shadows of Motown,
1429,nm0735872,2012-08-12,2012-08-12,34 points,Hugo Rodríguez,En medio de la nada,1958-06-27
1430,nm0724059,2012-08-03,2012-08-03,34 points,Dick Richards,Tootsie,
1431,nm0027948,2016-09-18,2016-09-18,34 points,Roberto Andò,Le confessioni,1959-01-11
1432,nm0412650,2012-07-26,2012-07-26,34 points,Ub Iwerks,The Birds,1901-03-24
1433,nm0468995,2016-10-21,2016-10-21,34 points,Damjan Kozole,Nocno zivljenje,1964-06-01
1434,nm0744612,2017-09-27,2017-09-27,33 points,Stanislav Rostotskiy,Belyy Bim Chernoe ukho,1922-04-21
1435,nm0185187,2016-10-09,2016-10-09,33 points,Paul Cox,Innocence,1940-04-16
1436,nm0076779,2015-10-14,2015-10-14,33 points,Curtis Bernhardt,Kisses for My President,1899-04-15
1437,nm0637790,2015-06-04,2015-06-04,33 points,Elliott Nugent,The Seven Year Itch,1896-09-20
1438,nm0257992,2017-04-08,2017-04-08,33 points,Robert Enrico,Le vieux fusil,1931-04-13
1439,nm0098953,2012-08-19,2017-01-15,33 points,Rachid Bouchareb,Indigènes,1959-09-01
1440,nm0002948,2017-01-05,2017-01-05,33 points,Costas Ferris,Dyo fengaria ton Avgousto,1935-04-18
1441,nm0122184,2012-08-12,2012-08-12,33 points,Daniel Burman,"Iosi, el espía arrepentido",1973-08-29
1442,nm0118807,2013-11-10,2013-11-10,33 points,Harold S. Bucquet,The Adventures of Tartu,1891-04-10
1443,nm0094274,2014-05-16,2014-05-16,33 points,Bertrand Bonello,Nocturama,1968-09-11
1444,nm0417054,2012-08-03,2012-08-03,33 points,Jerry Jameson,Land of the Free,1934-11-26
1445,nm0000578,2012-08-04,2012-08-04,33 points,Anthony Perkins,Psycho,1932-04-04
1446,nm0621540,2016-05-12,2016-05-31,32 points,Mikio Naruse,Ukigumo,1905-08-20
1447,nm0198765,2017-06-04,2017-06-04,32 points,Damiano Damiani,La rimpatriata,1922-07-23
1448,nm0503615,2017-11-05,2017-11-05,32 points,Irving Lerner,Murder by Contract,1909-03-07
1449,nm0451592,2017-07-30,2017-07-30,32 points,Nacer Khemir,El-haimoune,
1450,nm0074844,2012-08-11,2012-08-26,32 points,Nir Bergman,Knafayim Shvurot,1969-08-08
1451,nm0350455,2012-08-06,2012-08-06,32 points,Stephen Gyllenhaal,CBS Afternoon Playhouse,1949-10-04
1452,nm1050098,2016-03-06,2016-03-06,32 points,Joachim Lafosse,L'économie du couple,1975-01-18
1453,nm0182459,2017-03-31,2017-03-31,32 points,Saverio Costanzo,Hungry Hearts,1975-09-28
1454,nm0592436,2013-07-06,2013-07-06,32 points,Brad Mirman,Crime Spree,1953-06-28
1455,nm0373612,2012-08-03,2012-08-03,32 points,Richard T. Heffron,Futureworld,1930-10-06
1456,nm0742940,2017-04-18,2017-04-18,31 points,Francesco Rosi,Cadaveri eccellenti,1922-11-15
1457,nm0161615,2012-07-28,2012-08-04,31 points,Vera Chytilová,Sedmikrásky,1929-02-02
1458,nm0894201,2016-03-22,2016-03-22,31 points,Michael Verhoeven,Das schreckliche Mädchen,1938-07-13
1459,nm0393254,2015-06-24,2015-06-24,31 points,Hong Sang-soo,Geu-hu,1960-10-25
1460,nm0520283,2017-03-11,2017-03-11,31 points,Konstantin Lopushanskiy,Gadkie lebedi,1947-06-12
1461,nm0530975,2014-08-29,2014-08-29,31 points,Dick Maas,Prooi,1951-04-15
1462,nm0000866,2012-07-29,2012-07-29,31 points,Saul Bass,Why Man Creates,1920-05-08
1463,nm0137830,2014-08-30,2014-08-30,30 points,Henning Carlsen,Sult,1927-06-04
1464,nm0235590,2013-04-20,2013-04-20,30 points,Aleksandr Dovzhenko,Zemlya,1894-09-10
1465,nm0314516,2016-07-22,2016-07-22,30 points,Aleksey German,"Khrustalyov, mashinu!",1938-07-20
1466,nm0002254,2013-06-12,2013-06-12,30 points,King Hu,Xia nü,1932-04-29
1467,nm0562004,2016-08-21,2016-08-21,30 points,Joe May,Asphalt,1880-11-07
1468,nm0006845,2012-08-12,2012-08-12,30 points,Sally Potter,The Tango Lesson,1949-09-19
1469,nm1435889,2014-04-26,2014-04-26,30 points,Andrzej Jakimowski,Imagine,1963-08-17
1470,nm0752193,2012-07-26,2012-07-26,30 points,Walter Ruttmann,Berlin - Die Sinfonie der Großstadt,1887-12-28
1471,nm0684596,2017-03-30,2017-03-30,30 points,Lucian Pintilie,Terminus paradis,1933-11-09
1472,nm0840042,2012-07-26,2012-07-26,30 points,A. Edward Sutherland,Sky Devils,1895-01-05
1473,nm0506374,2012-08-12,2012-08-12,30 points,Dani Levy,Alles auf Zucker!,1957-11-17
1474,nm0003745,2014-08-05,2014-08-05,30 points,Anthony Fabian,Mrs. Harris Goes to Paris,
1475,nm0001949,2012-08-05,2012-08-05,30 points,Andrew Birkin,Der Name der Rose,1945-12-09
1476,nm2254150,2016-09-24,2016-09-24,30 points,Adrián Biniez,Gigante,1974-08-28
1477,nm0759777,2012-09-01,2012-09-01,30 points,Yasemin Samdereli,Almanya - Willkommen in Deutschland,1973-07-15
1478,nm0224801,2015-01-20,2015-01-20,30 points,Yi'nan Diao,Bai ri yan huo,
1479,nm2207094,2014-01-24,2014-01-24,30 points,Edward Anderson,Shuttle,
1480,nm0326360,2012-08-03,2012-08-03,30 points,James Goldstone,Kent State,1931-06-08
1481,nm0554040,2012-08-11,2012-08-11,30 points,Hardy Martins,So weit die Füße tragen,
1482,nm0791899,2012-08-03,2012-08-03,29 points,Larisa Shepitko,Voskhozhdenie,1938-01-06
1483,nm0299586,2016-05-05,2016-05-05,29 points,Zoltán Fábri,Húsz óra,1917-10-15
1484,nm0107655,2014-07-19,2014-07-19,29 points,Vinko Bresan,Kako je poceo rat na mom otoku,1964-02-03
1485,nm0887708,2012-07-29,2012-07-29,29 points,Melvin Van Peebles,The Shining,1932-08-21
1486,nm0861610,2016-05-05,2016-05-05,29 points,Warwick Thornton,Samson and Delilah,1970-07-23
1487,nm0698742,2017-11-19,2017-11-19,29 points,Aleksandr Proshkin,Kholodnoe leto pyatdesyat tretego,1940-03-25
1488,nm0001228,2017-09-09,2017-09-09,29 points,Peter Fonda,Easy Rider,1940-02-23
1489,nm0335455,2012-07-27,2012-07-27,29 points,James Edward Grant,The Alamo,1905-07-02
1490,nm0173728,2016-06-03,2016-06-09,28 points,Luigi Comencini,Voltati Eugenio,1916-06-08
1491,nm0079906,2015-05-02,2017-04-23,28 points,Frank Beyer,Spur der Steine,1932-05-26
1492,nm0630197,2017-11-15,2017-11-15,28 points,Sergiu Nicolaescu,Duelul,1930-04-13
1493,nm0871428,2014-05-30,2014-05-30,28 points,Pete Travis,Dredd,
1494,nm0398464,2013-03-23,2013-03-23,28 points,Harry O. Hoyt,Bitter Apples,1885-08-06
1495,nm0488623,2016-11-30,2016-11-30,28 points,Arnaud Larrieu,Les derniers jours du monde,1966-03-31
1496,nm0488626,2016-11-30,2016-11-30,28 points,Jean-Marie Larrieu,Les derniers jours du monde,1965-04-08
1497,nm0080235,2012-09-01,2012-09-01,28 points,Vishal Bhardwaj,Haider,1965-08-04
1498,nm0038475,2012-08-26,2012-08-26,28 points,Kevin Asch,Holy Rollers,1975-09-05
1499,nm1840911,2016-01-05,2016-01-05,28 points,Mitja Okorn,Planeta Singli,
1500,nm0498064,2013-06-12,2013-06-12,28 points,Raymond Lee,Flying Tiger,
1501,nm0304098,2015-09-21,2015-09-21,27 points,Abel Gance,Napoléon vu par Abel Gance,1889-10-25
1502,nm0728271,2012-12-01,2014-09-15,27 points,Dino Risi,Il sorpasso,1916-12-23
1503,nm0749914,2017-09-21,2017-09-21,27 points,Raúl Ruiz,La Telenovela Errante,1941-07-25
1504,nm0491626,2016-03-01,2016-03-01,27 points,Georges Lautner,Les tontons flingueurs,1926-01-24
1505,nm0158582,2016-08-08,2016-08-08,27 points,Tadeusz Chmielewski,Ewa chce spac,1927-06-07
1506,nm0080868,2014-07-19,2014-07-19,27 points,Herbert J. Biberman,Salt of the Earth,1900-03-04
1507,nm0594198,2012-08-13,2012-08-13,27 points,Cãtãlin Mitulescu,Cum mi-am petrecut sfârsitul lumii,1972-01-13
1508,nm0742941,2017-01-15,2017-01-15,27 points,Gianfranco Rosi,Fuocoammare,1963-11-30
1509,nm0711855,2017-04-16,2017-04-16,27 points,Gregory Ratoff,All About Eve,1897-04-20
1510,nm0161093,2017-12-02,2017-12-02,27 points,Yuriy Chulyukin,Devchata,1929-11-09
1511,nm0670282,2015-01-21,2015-01-21,27 points,Larry Peerce,The Incident,1930-04-19
1512,nm0813786,2012-08-13,2012-08-13,27 points,Ben Sombogaart,Bride Flight,1947-08-08
1513,nm0699877,2015-08-13,2015-08-13,26 points,Vsevolod Pudovkin,Admiral Nakhimov,1893-02-28
1514,nm0953130,2015-10-17,2015-10-17,26 points,Krzysztof Zanussi,Struktura krysztalu,1939-06-17
1515,nm0002165,2017-08-25,2017-08-25,26 points,Marc Allégret,Avec André Gide,1900-12-22
1516,nm0000691,2012-08-04,2012-08-04,26 points,John Waters,Pecker,1946-04-22
1517,nm0908831,2015-08-04,2015-08-04,26 points,Richard Wallace,Captain Caution,1894-08-26
1518,nm0954500,2013-08-09,2013-08-09,26 points,Petr Zelenka,Mnága - Happy End,1967-08-21
1519,nm0181117,2012-08-19,2012-08-19,26 points,Catherine Corsini,La fracture,1956-05-18
1520,nm0609981,2015-09-02,2015-09-02,26 points,Emmanuel Mouret,"Les choses qu'on dit, les choses qu'on fait",1970-06-30
1521,nm0916271,2014-01-12,2014-01-12,26 points,Robert D. Webb,In Old Chicago,1903-01-08
1522,nm0609594,2012-07-29,2012-07-29,26 points,Vladimir Motyl,Nesut menya koni,1927-06-26
1523,nm0792514,2012-11-18,2012-11-18,26 points,Lowell Sherman,Bachelor Apartment,1888-10-11
1524,nm0461497,2012-07-29,2012-07-29,26 points,Bernard Knowles,The 39 Steps,1900-02-20
1525,nm0686304,2012-08-11,2012-08-11,26 points,Marcelo Piñeyro,El método,
1526,nm0003418,2012-08-10,2012-08-10,26 points,Rob Cohen,DragonHeart,1949-03-12
1527,nm0183419,2016-03-05,2016-03-05,26 points,Delphine Coulin,17 filles,
1528,nm0183421,2016-03-05,2016-03-05,26 points,Muriel Coulin,17 filles,
1529,nm0844333,2014-01-04,2014-01-04,25 points,Malgorzata Szumowska,W imie...,1973-02-26
1530,nm0000853,2016-05-09,2016-05-09,25 points,Bruno Barreto,Flores Raras,1955-03-16
1531,nm0577654,2014-09-27,2014-09-27,25 points,George Melford,Love in the Desert,1877-02-19
1532,nm1672085,2016-09-07,2016-09-07,25 points,Marcin Wrona,Demon,1973-03-25
1533,nm0154055,2012-08-05,2012-08-05,25 points,Étienne Chatiliez,La vie est un long fleuve tranquille,1952-06-17
1534,nm0456862,2017-08-13,2017-08-13,25 points,Dimitri Kirsanoff,Quartier sans soleil,1899-03-06
1535,nm0389219,2012-07-27,2012-07-29,25 points,Kurt Hoffmann,Das Wirtshaus im Spessart,1910-11-12
1536,nm0500896,2015-03-28,2015-03-28,25 points,David Leland,Wish You Were Here,1941-04-20
1537,nm2746964,2017-10-30,2017-10-30,25 points,Frauke Finsterwalder,Finsterworld,
1538,nm0400170,2012-08-26,2012-08-26,25 points,Ralf Huettner,Das Mädchen mit den Feuerzeugen,1954-11-29
1539,nm0877382,2012-08-13,2012-08-13,25 points,Ann Turner,Celia,
1540,nm0001135,2012-08-04,2012-08-04,25 points,John Derek,The Ten Commandments,1926-08-12
1541,nm5112815,2014-05-24,2014-05-24,25 points,Rama Burshtein,Lemale et ha'halal,
1542,nm0323558,2012-08-18,2012-08-18,25 pionts,Krisztina Goda,Kaméleon,1970-03-28
1543,nm0211459,2016-06-06,2016-06-06,24 points,Giuseppe De Santis,Caccia tragica,1917-02-11
1544,nm0970382,2012-08-11,2013-04-07,24 points,Piotr Trzaskalski,Edi,1964-02-05
1545,nm0321894,2012-08-18,2013-05-02,24 points,Matthias Glasner,Der freie Wille,1965-01-20
1546,nm0767701,2016-07-19,2016-07-19,24 points,Victor Saville,The Faithful Heart,1895-09-25
1547,nm0287988,2016-05-19,2016-05-19,24 points,Norman Foster,Letter to Loretta,1903-12-13
1548,nm3742814,2014-11-23,2014-11-23,24 points,Sylvain Estibal,When Pigs Have Wings,
1549,nm0090007,2012-07-26,2014-06-09,24 points,John G. Blystone,Men on Call,1892-12-02
1550,nm0331956,2012-08-04,2012-08-04,24 points,Carl Gottlieb,Jaws 2,1938-03-18
1551,nm0594151,2012-08-12,2012-08-12,24 points,Marcus Mittermeier,Muxmäuschenstill,1969-10-08
1552,nm0518123,2014-02-01,2014-02-01,24 points,Julia Loktev,Day Night Day Night,1969-12-12
1553,nm0382779,2012-08-03,2012-08-03,24 points,Douglas Hickox,Blackout,1929-01-10
1554,nm0349425,2017-04-16,2017-04-16,23 points,Tomás Gutiérrez Alea,Fresa y chocolate,1928-12-11
1555,nm0139239,2016-05-27,2016-05-27,23 points,Heiner Carow,Coming Out,1929-09-19
1556,nm2275000,2015-10-25,2015-10-25,23 points,Christian Schwochow,Die Unsichtbare,1978-09-23
1557,nm0625866,2015-10-29,2015-10-29,23 points,Jan Nemec,Toyen,1936-07-12
1558,nm0415245,2017-03-12,2017-03-12,23 points,Benoît Jacquot,Les adieux à la reine,1947-02-05
1559,nm0939540,2017-05-27,2017-05-27,23 points,Andrés Wood,Machuca,
1560,nm0223924,2012-08-18,2012-08-18,23 points,Gianni Di Gregorio,Gomorra,1949-02-19
1561,nm1360804,2012-11-12,2012-11-12,23 points,Shi-Zheng Chen,Dark Matter,
1562,nm3205815,2013-08-09,2013-08-09,23 points,Anne Sewitsky,Sykt lykkelig,1978-01-12
1563,nm0259574,2016-09-07,2016-09-07,23 points,Benedikt Erlingsson,Kona fer í stríð,1969-05-31
1564,nm0030917,2012-07-27,2012-07-27,23 points,Joseph Anthony,The Rainmaker,1912-05-24
1565,nm0200500,2012-12-29,2013-09-14,23 points,Pepe Danquart,Nach Saison,1955-03-01
1566,nm2321422,2017-03-05,2017-03-05,23 points,Sharon Maymon,A Matter of Size,
1567,nm2318954,2017-03-05,2017-03-05,23 points,Tal Granit,Mita Tova,
1568,nm1067759,2013-11-08,2013-11-08,23 points,Christopher N. Rowley,Molly Moon and the Incredible Book of Hypnotism,
1569,nm1077590,2012-08-18,2012-08-18,23 points,Isidro Ortiz,Eskalofrío,1963-09-13
1570,nm1313617,2012-08-11,2012-08-11,23 points,Tomasz Baginski,Sztuka spadania,1976-01-10
1571,nm0612914,2012-07-28,2013-01-27,22 points,Andrzej Munk,Pasazerka,1920-10-16
1572,nm0379872,2012-08-11,2012-08-11,22 points,Antonio Hernández,En la ciudad sin límites,
1573,nm0540295,2016-06-25,2016-07-21,22 points,Nils Malmros,At kende sandheden,1944-10-05
1574,nm0034899,2016-04-13,2016-04-13,22 points,Adolfo Aristarain,Roma,1943-10-19
1575,nm0551506,2013-02-01,2013-02-01,22 points,Lucrecia Martel,La mujer sin cabeza,1966-12-14
1576,nm0332531,2012-07-27,2012-07-27,22 points,Alfred J. Goulding,Dick Barton: Special Agent,1884-01-26
1577,nm3669732,2017-05-28,2017-05-28,22 points,Michael Rowe,Año bisiesto,
1578,nm0664257,2014-11-30,2014-11-30,22 points,Gabriel Pascal,Major Barbara,1894-06-04
1579,nm0578985,2016-10-30,2016-10-30,21 points,Lothar Mendes,The Man Who Could Work Miracles,1894-05-19
1580,nm0227992,2017-07-05,2017-07-05,21 points,Luc Dionne,Aurore,1960-07-29
1581,nm1313340,2014-07-06,2014-07-06,21 points,Michael McGowan,Still Mine,1966-04-14
1582,nm0711745,2014-08-30,2014-08-30,21 points,Mani Ratnam,Dil Se..,1955-06-02
1583,nm1847630,2012-08-19,2012-08-19,21 points,Rune Denstad Langlo,Nord,1972-04-16
1584,nm0311700,2013-02-23,2013-02-23,21 points,Shira Geffen,Meduzot,1971-04-30
1585,nm0743671,2014-10-23,2014-10-23,21 points,Matt Ross,Captain Fantastic,1970-01-03
1586,nm0257129,2015-06-28,2015-06-28,21 points,Morris Engel,Little Fugitive,1918-04-08
1587,nm0449316,2013-02-23,2013-02-23,21 points,Etgar Keret,Meduzot,1967-08-20
1588,nm0097259,2017-04-03,2017-04-03,21 points,Walerian Borowczyk,Docteur Jekyll et les femmes,1923-10-21
1589,nm0537595,2012-08-12,2012-08-12,21 points,Emilio Maillé,Los años Arruza,1963-05-09
1590,nm0803549,2017-06-18,2017-06-18,20 points,Alf Sjöberg,Fröken Julie,1903-06-21
1591,nm0937830,2016-11-12,2016-11-12,20 points,Konrad Wolf,Professor Mamlock,1925-10-20
1592,nm0310449,2015-09-14,2015-09-14,20 points,Roberto Gavaldón,El niño y la niebla,1909-06-07
1593,nm0282984,2015-09-17,2015-09-17,20 points,Robert Florey,Four Star Playhouse,1900-09-14
1594,nm0333705,2017-10-22,2017-10-22,20 points,Dominik Graf,Fabian oder Der Gang vor die Hunde,1952-09-06
1595,nm0646299,2012-08-19,2012-08-19,20 points,Annette K. Olesen,Kamikaze,1965-11-20
1596,nm0046082,2012-12-03,2012-12-03,20 points,Clarence G. Badger,Rangle River,1880-06-09
1597,nm0839008,2012-08-11,2012-08-11,20 points,Zhou Sun,Piao liang ma ma,1954-08-01
1598,nm0774420,2013-11-08,2013-11-08,20 points,Frédéric Schoendoerffer,Scènes de crimes,1962-10-03
1599,nm1252622,2013-08-30,2013-08-30,20 points,Shirin Neshat,Zanan-e bedun-e mardan,1957-03-26
1600,nm0010012,2012-08-11,2012-08-11,20 points,Robert Allan Ackerman,Life with Judy Garland: Me and My Shadows,1944-06-30
1601,nm0321363,2012-08-18,2012-08-18,20 points,Tudor Giurgiu,Despre oameni si melci,1972-06-20
1602,nm0854853,2015-03-07,2015-03-07,20 points,Joona Tena,Supermarsu,1965-02-10
1603,nm0131995,2012-07-29,2012-07-29,20 points,Joe Camp,Oh Heavenly Dog,1939-04-20
1604,nm0729626,2015-12-31,2015-12-31,19 points,Jacques Rivette,La Belle Noiseuse,1928-03-01
1605,nm0160108,2012-07-27,2016-02-25,19 points,Christian-Jaque,Fanfan la tulipe,1904-08-04
1606,nm0521422,2017-09-21,2017-09-21,19 points,Emil Loteanu,Lautarii,1936-11-06
1607,nm0358960,2013-02-22,2013-02-22,19 points,Christopher Hampton,The Father,1946-01-26
1608,nm0124877,2015-04-05,2015-04-05,19 points,David Butler,You'll Find Out,1894-12-17
1609,nm0419485,2016-02-28,2016-02-28,19 points,Yorgos Tzavellas,Antigoni,
1610,nm0718121,2012-07-26,2012-07-26,19 points,Max Reinhardt,Sumurûn,1873-09-09
1611,nm1541888,2015-07-08,2015-07-08,19 points,Neele Leana Vollmar,Meine Eltern,
1612,nm2098745,2015-04-02,2015-04-02,19 points,Lukasz Palkowski,Bogowie,1976-03-02
1613,nm0158523,2014-08-05,2014-08-05,19 points,Rezo Chkheidze,Nergebi,1926-12-08
1614,nm0133326,2014-01-04,2014-01-04,19 points,Sebastián Lelio,Una Mujer Fantástica,1974-03-08
1615,nm0006690,2012-08-12,2012-08-18,19 points,Giacomo Battiato,The Name of the Rose,1943-10-18
1616,nm0905343,2012-08-12,2012-08-12,19 points,Andrucha Waddington,Casa de Areia,1970-01-20
1617,nm1167412,2015-07-22,2015-07-22,19 points,Aleksi Salmenperä,Tyhjiö,
1618,nm0855350,2012-08-12,2012-08-12,19 points,Albert Ter Heerdt,Shouf shouf habibi!,
1619,nm0538652,2014-09-20,2014-09-28,18 points,Károly Makk,Egymásra nézve,1925-12-22
1620,nm0444328,2014-01-10,2014-01-10,18 points,Dorota Kedzierzawska,Nic,1957-06-01
1621,nm0836136,2012-08-12,2014-03-28,18 points,Jerzy Stuhr,Historie milosne,1947-04-18
1622,nm0322894,2015-10-22,2015-10-22,18 points,Robert Glinski,"Czesc, Tereska",1952-04-17
1623,nm0686137,2012-07-29,2012-08-05,18 points,Marek Piwowski,"Przepraszam, czy tu bija?",1935-10-24
1624,nm0003794,2012-08-05,2012-08-05,18 points,Ryszard Bugajski,Przesluchanie,1943-04-27
1625,nm0047047,2012-08-12,2012-08-12,18 points,Jo Baier,Der Laden,1949-02-13
1626,nm1402557,2012-08-12,2014-01-04,18 points,Boris Khlebnikov,Koktebel,1972-08-28
1627,nm0711579,2016-01-07,2016-01-07,18 points,Pen-Ek Ratanaruang,Ruang talok 69,
1628,nm0154794,2017-11-21,2017-11-21,18 points,Vladimir Chebotaryov,Chelovek-amfibiya,1921-08-16
1629,nm0443609,2017-11-21,2017-11-21,18 points,Gennadiy Kazanskiy,Rimskiy-Korsakov,1910-12-01
1630,nm0037790,2013-04-12,2013-04-12,18 points,Karen Arthur,Legacy,1941-08-24
1631,nm0284677,2012-08-12,2012-08-12,18 points,José Henrique Fonseca,O Homem do Ano,
1632,nm0189581,2015-05-16,2015-05-16,18 points,Paul Crowder,The Pink Panther,1962-12-30
1633,nm0235770,2015-05-16,2015-05-16,18 points,John Dower,Thrilla in Manila,
1634,nm0097095,2012-08-18,2012-08-18,18 points,Akiz,Der Nachtmahr,1969-01-03
1635,nm0002167,2012-08-05,2012-08-05,17 points,Gianni Amelio,Il ladro di bambini,1945-01-20
1636,nm0384276,2015-09-15,2015-09-15,17 points,George W. Hill,The Midnight Express,1895-04-25
